AIRPORT,DOMESTIC_RANK
"New York, NY",3.0939414635082234
"Chicago, IL",4.015453606035873
"Los Angeles, CA",2.9018312306214296
"San Francisco, CA",2.0639684541170116
"Atlanta, GA",3.510941099394573
"Miami, FL",0.7310367378922583
"Minneapolis, MN",1.0298496606540244
"Orlando, FL",1.0926384309924864
"Washington, DC",1.2141924097198296
"Las Vegas, NV",1.4715916435084373
"Fort Lauderdale, FL",0.6635644157017792
"Denver, CO",1.8477096158586817
"Dallas/Fort Worth, TX",1.9819855251556593
"Honolulu, HI",0.5042899498595788
"Boston, MA",1.068822282885772
"Seattle, WA",1.4748944116647615
"Phoenix, AZ",1.6236588016282378
"Tampa, FL",0.5698141725732413
"Houston, TX",1.515167458003026
"Charlotte, NC",1.230772561347578
"Kahului, HI",0.18535079819193498
"Philadelphia, PA",0.7909476270744936
"Anchorage, AK",0.09954124052588553
"Newark, NJ",0.8666646204923141
"San Diego, CA",0.7623251169813076
"Detroit, MI",0.936259827385683
"Jacksonville, FL",0.13594225693656875
"Baltimore, MD",0.6422262213497996
"New Orleans, LA",0.27376567134804847
"Salt Lake City, UT",0.634534845072678
"Raleigh/Durham, NC",0.2493457571811218
"Kona, HI",0.06105302069154925
"Lihue, HI",0.060599416446519255
"Portland, OR",0.5533612995871747
"West Palm Beach/Palm Beach, FL",0.16249079472765182
"Dallas, TX",0.37225230808737264
"Cleveland, OH",0.11198438576896097
"St. Louis, MO",0.2985861996979301
"Kansas City, MO",0.27735597774771004
"Austin, TX",0.3428194447407266
"Fort Myers, FL",0.19596935465434018
"San Jose, CA",0.322542628678192
"San Antonio, TX",0.18126637218196856
"Indianapolis, IN",0.12588827476248385
"Spokane, WA",0.06439346231856236
"Oakland, CA",0.3943736595375717
"Sacramento, CA",0.3314572832131071
"Hilo, HI",0.051036561607206876
"Santa Ana, CA",0.4245818223268998
"Richmond, VA",0.08250342913524428
"Nashville, TN",0.26626406439114464
"Columbus, OH",0.10808492346402118
"Pittsburgh, PA",0.13794205946862664
"Omaha, NE",0.09058809210789133
"Milwaukee, WI",0.07990627107638765
"Memphis, TN",0.05105803335894031
"Charleston, SC",0.049763211414273006
"Ontario, CA",0.10665618542370014
"Burbank, CA",0.11465523852782673
"Birmingham, AL",0.047356965640338186
"Reno, NV",0.0466526926144633
"Buffalo, NY",0.0854067705715128
"Savannah, GA",0.04597708525130818
"Norfolk, VA",0.04629798312521848
"Pensacola, FL",0.043016348263720694
"Albuquerque, NM",0.07158901101261281
"Hartford, CT",0.1755220104452385
"Louisville, KY",0.07474310555166017
"Cincinnati, OH",0.07296084194063193
"Providence, RI",0.06671329432441304
"Tulsa, OK",0.038162298927539785
"Sarasota/Bradenton, FL",0.03836664939868988
"Oklahoma City, OK",0.06421597930528691
"Des Moines, IA",0.04425600985051737
"Tucson, AZ",0.0368589290688705
"Manchester, NH",0.037726655224623436
"Greer, SC",0.03583061869644503
"El Paso, TX",0.06118964304647898
"Greensboro/High Point, NC",0.034688628514610846
"Little Rock, AR",0.03353335710610237
"Boise, ID",0.03403839120635667
