AIRPORT,PASSENGERS_FROM_ITALY,BETA_ITALY,BETA_NORMALIZED
"New York, NY",713088,1.0,1
"Chicago, IL",90521,0.12694225677616228,1
"Los Angeles, CA",47679,0.0668627154011847,1
"San Francisco, CA",2702,0.0037891536528450905,1
"Atlanta, GA",129016,0.18092577634176987,1
"Miami, FL",131907,0.1849799744211093,1
"Minneapolis, MN",0,0.0,1
"Orlando, FL",0,0.0,1
"Washington, DC",41847,0.058684201669359184,1
"Las Vegas, NV",77,0.00010798106264584455,1
"Fort Lauderdale, FL",10,1.402351462933046e-05,1
"Denver, CO",0,0.0,1
"Dallas/Fort Worth, TX",1452,0.002036214324178783,1
"Honolulu, HI",0,0.0,1
"Boston, MA",59894,0.08399243852091187,1
"Seattle, WA",399,0.0005595382337102854,1
"Phoenix, AZ",10,1.402351462933046e-05,1
"Tampa, FL",0,0.0,1
"Houston, TX",1,1.4023514629330462e-06,1
"Charlotte, NC",46633,0.06539585577095675,1
"Kahului, HI",0,0.0,1
"Philadelphia, PA",123947,0.17381725677616228,1
"Anchorage, AK",0,0.0,1
"Newark, NJ",141659,0.19865570588763237,1
"San Diego, CA",5,7.01175731466523e-06,1
"Detroit, MI",39581,0.0555064732543529,1
"Jacksonville, FL",0,0.0,1
"Baltimore, MD",7,9.816460240531323e-06,1
"New Orleans, LA",0,0.0,1
"Salt Lake City, UT",1047,0.0014682619816908994,1
"Raleigh/Durham, NC",0,0.0,1
"Kona, HI",0,0.0,1
"Lihue, HI",0,0.0,1
"Portland, OR",0,0.0,1
"West Palm Beach/Palm Beach, FL",0,0.0,1
"Dallas, TX",5,7.01175731466523e-06,1
"Cleveland, OH",0,0.0,1
"St. Louis, MO",0,0.0,1
"Kansas City, MO",0,0.0,1
"Austin, TX",0,0.0,1
"Fort Myers, FL",0,0.0,1
"San Jose, CA",0,0.0,1
"San Antonio, TX",0,0.0,1
"Indianapolis, IN",0,0.0,1
"Spokane, WA",0,0.0,1
"Oakland, CA",0,0.0,1
"Sacramento, CA",0,0.0,1
"Hilo, HI",0,0.0,1
"Santa Ana, CA",33,4.627759827679052e-05,1
"Richmond, VA",0,0.0,1
"Nashville, TN",13,1.8230569018129598e-05,1
"Columbus, OH",0,0.0,1
"Pittsburgh, PA",0,0.0,1
"Omaha, NE",0,0.0,1
"Milwaukee, WI",0,0.0,1
"Memphis, TN",0,0.0,1
"Charleston, SC",0,0.0,1
"Ontario, CA",0,0.0,1
"Burbank, CA",0,0.0,1
"Birmingham, AL",0,0.0,1
"Reno, NV",0,0.0,1
"Buffalo, NY",0,0.0,1
"Savannah, GA",0,0.0,1
"Norfolk, VA",0,0.0,1
"Pensacola, FL",0,0.0,1
"Albuquerque, NM",0,0.0,1
"Hartford, CT",0,0.0,1
"Louisville, KY",0,0.0,1
"Cincinnati, OH",0,0.0,1
"Providence, RI",0,0.0,1
"Tulsa, OK",0,0.0,1
"Sarasota/Bradenton, FL",0,0.0,1
"Oklahoma City, OK",0,0.0,1
"Des Moines, IA",0,0.0,1
"Tucson, AZ",0,0.0,1
"Manchester, NH",0,0.0,1
"Greer, SC",0,0.0,1
"El Paso, TX",0,0.0,1
"Greensboro/High Point, NC",0,0.0,1
"Little Rock, AR",0,0.0,1
"Boise, ID",0,0.0,1
