STATE,STATE_ABBREVIATION,PASSENGERS_FROM_ITALY,PASSENGERS_FROM_ITALY_SCALED,PASSENGERS_FROM_ITALY_NEIGHBORS_SCALED
Alabama,AL,0,0.0,0.0
Alaska,AK,0,0.0,1.7375002063281495e-06
Arizona,AZ,10,1.4023416300538639e-05,0.0005499188153028593
Arkansas,AR,0,0.0,0.0
California,CA,50429,0.07071868606198631,0.5752837120649408
Colorado,CO,0,0.0,0.0
Connecticut,CT,0,0.0,0.0
Delaware,DE,0,0.0,0.0
Florida,FL,131917,0.18499270081181557,0.313565793485938
Georgia,GA,129016,0.18092450774302932,0.3322378394532434
Hawaii,HI,0,0.0,0.0
Idaho,ID,0,0.0,0.0
Illinois,IL,90521,0.12694136669410583,0.26988069454833247
Indiana,IN,0,0.0,7.818750928476673e-06
Iowa,IA,0,0.0,0.0
Kansas,KS,0,0.0,0.0
Kentucky,KY,0,0.0,0.0
Louisiana,LA,0,0.0,8.687501031640747e-06
Maine,ME,172,0.0002412027603692646,0.00017288127052965087
Maryland,MD,7,9.816391410377048e-06,0.00024151252867961277
Massachusetts,MA,59894,0.08399184959044613,0.21665411322767594
Michigan,MI,39581,0.05550608405916199,0.15067601789277713
Minnesota,MN,0,0.0,0.09887418674130967
Mississippi,MS,0,0.0,0.0
Missouri,MO,0,0.0,8.687501031640747e-07
Montana,MT,0,0.0,6.950000825312598e-06
Nebraska,NE,0,0.0,0.0
Nevada,NV,77,0.00010798030551414753,0.019093389767340034
New Hampshire,NH,0,0.0,1.7375002063281495e-06
New Jersey,NJ,141683,0.1986879691709216,0.36683494356164953
New Mexico,NM,0,0.0,0.0
New York,NY,713093,1.0,1.0
North Carolina,NC,46633,0.06539539723430184,0.03581596050314531
North Dakota,ND,0,0.0,0.0
Ohio,OH,0,0.0,0.04472846781150555
Oklahoma,OK,0,0.0,0.0
Oregon,OR,0,0.0,0.0
Pennsylvania,PA,123947,0.17381603802028628,0.1041066686126669
Rhode Island,RI,0,0.0,0.0
South Carolina,SC,0,0.0,0.0
South Dakota,SD,0,0.0,6.950000825312598e-06
Tennessee,TN,13,1.823044119070023e-05,1.3900001650625196e-05
Texas,TX,1458,0.0020446140966185336,0.12224877701704227
Utah,UT,1047,0.0014682516866663955,0.05443153771374511
Vermont,VT,0,0.0,0.0
Virginia,VA,0,0.0,0.0
Washington,WA,399,0.0005595343103914917,0.06686769544053883
West Virginia,WV,0,0.0,0.0
Wisconsin,WI,0,0.0,0.0
Wyoming,WY,0,0.0,2.6062503094922244e-06
